Close,Date
166.899994,2013-01-02
166.0,2013-01-03
164.199997,2013-01-04
162.850006,2013-01-07
163.600006,2013-01-08
162.75,2013-01-09
160.899994,2013-01-10
158.550003,2013-01-11
159.699997,2013-01-14
158.350006,2013-01-15
156.300003,2013-01-16
154.800003,2013-01-17
153.050003,2013-01-18
154.0,2013-01-21
152.050003,2013-01-22
149.350006,2013-01-23
145.850006,2013-01-24
148.0,2013-01-25
147.600006,2013-01-28
147.800003,2013-01-29
144.0,2013-01-30
149.600006,2013-01-31
146.850006,2013-02-01
145.100006,2013-02-04
141.5,2013-02-05
142.300003,2013-02-06
144.649994,2013-02-07
142.5,2013-02-08
141.050003,2013-02-11
142.449997,2013-02-12
141.699997,2013-02-13
139.149994,2013-02-14
141.350006,2013-02-15
142.100006,2013-02-18
146.350006,2013-02-19
145.25,2013-02-20
138.0,2013-02-21
138.449997,2013-02-22
133.449997,2013-02-25
131.899994,2013-02-26
132.449997,2013-02-27
125.099998,2013-02-28
128.050003,2013-03-01
126.949997,2013-03-04
132.0,2013-03-05
130.100006,2013-03-06
131.600006,2013-03-07
134.149994,2013-03-08
132.800003,2013-03-11
133.199997,2013-03-12
133.600006,2013-03-13
134.399994,2013-03-14
133.5,2013-03-15
131.100006,2013-03-18
130.300003,2013-03-19
128.050003,2013-03-20
124.449997,2013-03-21
126.099998,2013-03-22
123.550003,2013-03-25
123.5,2013-03-26
128.0,2013-03-28
131.600006,2013-04-01
134.199997,2013-04-02
130.649994,2013-04-03
127.599998,2013-04-04
128.149994,2013-04-05
132.5,2013-04-08
130.050003,2013-04-09
131.199997,2013-04-10
131.350006,2013-04-11
131.699997,2013-04-12
132.25,2013-04-15
133.550003,2013-04-16
137.050003,2013-04-17
138.649994,2013-04-18
140.550003,2013-04-22
138.0,2013-04-23
136.149994,2013-04-25
140.300003,2013-04-26
144.100006,2013-04-29
146.899994,2013-04-30
148.800003,2013-05-02
146.75,2013-05-03
147.5,2013-05-06
148.850006,2013-05-07
